Feature,Correlation,Abs_Correlation
hl_range,0.5486573839434891,0.5486573839434891
day_of_week,-0.09653039833133734,0.09653039833133734
co_range,-0.08517118162694984,0.08517118162694984
log_return,-0.0816319695862184,0.0816319695862184
day_cos,0.08001305122103647,0.08001305122103647
simple_return,-0.07959432639037768,0.07959432639037768
spy_return,-0.07665737620613715,0.07665737620613715
price_to_ma7,-0.060168724756116926,0.060168724756116926
relative_return,-0.05115586912665968,0.05115586912665968
volume_change,-0.04923548828272658,0.04923548828272658
price_volume,-0.046972913963889425,0.046972913963889425
rolling_beta,-0.04335141888333024,0.04335141888333024
day_sin,0.0409438942359684,0.0409438942359684
return_lag2,-0.033199768038927914,0.033199768038927914
return_lag5,0.029584545001179595,0.029584545001179595
price_to_ma21,-0.026626290901362974,0.026626290901362974
pv_ratio,-0.024885365618754787,0.024885365618754787
month_cos,-0.02457278958200479,0.02457278958200479
day_of_month,0.02288822955230643,0.02288822955230643
volume_ratio,-0.019929827795907733,0.019929827795907733
return_lag10,-0.017874361210749447,0.017874361210749447
price_to_ma200,-0.0155479006255827,0.0155479006255827
price_to_ma50,-0.014660700469215263,0.014660700469215263
volume_ma20,-0.01427687442653936,0.01427687442653936
volatility_20d,-0.01240552629670582,0.01240552629670582
market_corr_30d,0.010673627766676703,0.010673627766676703
bb_width,0.010312435662878284,0.010312435662878284
macd_diff,-0.007828236367434191,0.007828236367434191
month,-0.006636642346717567,0.006636642346717567
week_of_year,-0.005943948845868284,0.005943948845868284
macd,-0.005667446163487465,0.005667446163487465
month_sin,-0.004544650385944402,0.004544650385944402
volatility_50d,-0.004306792869508886,0.004306792869508886
bb_position,-0.003734785542913614,0.003734785542913614
macd_signal,-0.0035209266362637515,0.0035209266362637515
rsi_14,-0.003268408345262322,0.003268408345262322
quarter,0.0014399809142539818,0.0014399809142539818
return_lag1,-0.0010759009427372126,0.0010759009427372126
return_lag3,-0.00022763555830136658,0.00022763555830136658
