Feature,Category,Correlation
hl_range,Core,0.5486573839434891
day_of_week,Time,-0.0965303983313373
co_range,Core,-0.0851711816269498
log_return,Core,-0.0816319695862184
day_cos,Time,0.0800130512210364
spy_return,Core,-0.0766573762061371
volume_change,Volatility,-0.0492354882827265
rolling_beta,Market,-0.0433514188833302
day_sin,Time,0.0409438942359684
return_lag2,Momentum,-0.0331997680389279
return_lag5,Momentum,0.0295845450011795
month_cos,Time,-0.0245727895820047
volatility_20d,Volatility,-0.0124055262967058
