model,fold,n_test,accuracy,binom_p_acc,n_acting,dir_acc_when_acting,binom_p_dir
Majority,0,274,0.3175182481751825,0.7306857801126211,0,,
Majority,1,274,0.3613138686131387,0.1789006598284778,274,0.3613138686131387,0.9999985782154853
Majority,2,273,0.3553113553113553,0.23896893065156397,273,0.3553113553113553,0.9999994588910702
Majority,3,273,0.37362637362637363,0.08966863402249586,273,0.37362637362637363,0.9999897351020913
Majority,4,273,0.3443223443223443,0.3717275606704242,0,,
SES,0,274,0.3175182481751825,0.7306857801126211,0,,
SES,1,274,0.38321167883211676,0.046909700975393154,0,,
SES,2,273,0.38461538461538464,0.042672983101181255,0,,
SES,3,273,0.41025641025641024,0.004715780314402314,0,,
SES,4,273,0.3443223443223443,0.3717275606704242,0,,
ARIMA,0,274,0.3175182481751825,0.7306857801126211,0,,
ARIMA,1,274,0.38321167883211676,0.046909700975393154,0,,
ARIMA,2,273,0.38461538461538464,0.042672983101181255,0,,
ARIMA,3,273,0.41025641025641024,0.004715780314402314,0,,
ARIMA,4,273,0.3443223443223443,0.3717275606704242,0,,
XGBoost,0,274,0.38321167883211676,0.046909700975393154,182,0.38461538461538464,0.9993152734633097
XGBoost,1,274,0.3467153284671533,0.3402925506221453,192,0.3229166666666667,0.9999997593856569
XGBoost,2,273,0.38461538461538464,0.042672983101181255,162,0.36419753086419754,0.9998124801605649
XGBoost,3,273,0.41025641025641024,0.004715780314402314,151,0.3443708609271523,0.9999589357356489
XGBoost,4,273,0.3663003663003663,0.1378327072941137,148,0.38513513513513514,0.9980677093914269
LSTM,0,274,0.4124087591240876,0.003744806204448044,186,0.4032258064516129,0.9967438983749192
LSTM,1,274,0.41605839416058393,0.002567607504768958,155,0.33548387096774196,0.9999875255548044
LSTM,2,273,0.3992673992673993,0.013151864860916237,205,0.35609756097560974,0.9999877689264304
LSTM,3,273,0.3992673992673993,0.013151864860916237,192,0.3541666666666667,0.9999828600256495
LSTM,4,273,0.358974358974359,0.2013943101792505,199,0.32663316582914576,0.9999997328956254
